Tempo(s),PWM_Aplicado(%),RPM_M1_Raw,RPM_M1_Filt
3.4150,40,179.49,176.46
3.4200,40,179.49,177.22
3.4250,40,179.49,177.90
3.4300,40,179.49,178.45
3.4350,40,179.49,178.90
3.4400,40,179.49,179.23
3.4450,40,205.13,179.97
3.4500,40,179.49,181.44
3.4550,40,179.49,182.75
3.4600,40,179.49,183.32
3.4650,40,179.49,183.38
3.4700,40,179.49,183.10
3.4750,40,179.49,182.64
3.4800,40,205.13,182.60
3.4850,40,179.49,183.36
3.4900,40,179.49,184.04
3.4950,40,179.49,184.12
3.5000,40,205.13,184.31
3.5050,40,179.49,185.08
3.5100,40,179.49,185.63
3.5150,40,179.49,185.50
3.5200,40,205.13,185.44
3.5250,40,179.49,185.96
3.5300,40,179.49,186.28
3.5350,40,205.13,186.46
3.5400,40,179.49,187.05
3.5450,40,205.13,187.84
3.5500,40,179.49,188.71
3.5550,40,205.13,189.56
3.5600,40,179.49,190.32
3.5650,40,179.49,190.46
3.5700,40,205.13,190.18
3.5750,40,205.13,190.68
3.5800,40,179.49,191.65
3.5850,40,179.49,191.81
3.5900,40,205.13,191.44
3.5950,40,205.13,191.79
3.6000,40,179.49,192.57
3.6050,40,205.13,193.04
3.6100,40,179.49,193.29
3.6150,40,205.13,193.37
3.6200,40,179.49,193.34
3.6250,40,205.13,193.23
3.6300,40,179.49,193.09
3.6350,40,205.13,192.94
3.6400,40,205.13,193.30
3.6450,40,179.49,193.97
3.6500,40,205.13,194.27
3.6550,40,179.49,194.30
3.6600,40,205.13,194.16
3.6650,40,205.13,194.44
3.6700,40,179.49,194.96
3.6750,40,205.13,195.08
3.6800,40,179.49,194.94
3.6850,40,205.13,194.63
3.6900,40,205.13,194.76
3.6950,40,205.13,195.68
3.7000,40,179.49,196.52
3.7050,40,205.13,196.71
3.7100,40,179.49,196.48
3.7150,40,205.13,196.00
3.7200,40,205.13,195.91
3.7250,40,179.49,196.08
3.7300,40,205.13,195.88
