Tempo(s),PWM_Aplicado(%),RPM_M1,RPM_M1_Filt
1.9450,78,282.0500,293.0035
1.9500,78,307.6900,293.0543
1.9550,78,282.0500,293.0903
1.9600,78,307.6900,293.1234
1.9650,78,282.0500,293.1831
1.9700,78,282.0500,293.3004
1.9750,78,307.6900,293.4745
1.9800,78,282.0500,293.6718
1.9850,78,307.6900,293.8565
1.9900,78,282.0500,294.0050
1.9950,78,307.6900,294.1038
2.0000,78,282.0500,294.1487
2.0050,78,307.6900,294.1433
2.0100,78,282.0500,294.0987
2.0150,78,307.6900,294.0335
2.0200,78,282.0500,293.9743
2.0250,78,282.0500,293.9399
2.0300,78,307.6900,293.9094
2.0350,78,307.6900,293.8393
2.0400,78,282.0500,293.7281
2.0450,78,282.0500,293.6171
2.0500,78,307.6900,293.5268
2.0550,78,282.0500,293.4419
2.0600,78,307.6900,293.3445
2.0650,78,282.0500,293.2310
2.0700,78,307.6900,293.1134
2.0750,78,282.0500,293.0201
2.0800,78,282.0500,292.9810
2.0850,78,307.6900,292.9958
2.0900,78,282.0500,293.0347
2.0950,78,307.6900,293.0705
2.1000,78,282.0500,293.0946
2.1050,78,307.6900,293.1163
2.1100,78,282.0500,293.1629
2.1150,78,282.0500,293.2633
2.1200,78,307.6900,293.4146
2.1250,78,282.0500,293.5816
2.1300,78,307.6900,293.7275
2.1350,78,282.0500,293.8287
2.1400,78,307.6900,293.8732
2.1450,78,282.0500,293.8596
2.1500,78,307.6900,293.7972
2.1550,78,282.0500,293.7055
2.1600,78,307.6900,293.6149
2.1650,78,282.0500,293.5676
2.1700,78,282.0500,293.6019
2.1750,78,307.6900,293.7208
2.1800,78,282.0500,293.8910
2.1850,78,307.6900,294.0743
2.1900,78,282.0500,294.2425
2.1950,78,307.6900,294.3753
2.2000,78,282.0500,294.4590
2.2050,78,307.6900,294.4852
2.2100,78,282.0500,294.4497
2.2150,78,307.6900,294.3526
2.2200,78,282.0500,294.1987
2.2250,78,307.6900,293.9979
2.2300,78,282.0500,293.7676
2.2350,78,307.6900,293.5337
2.2400,78,282.0500,293.3334
2.2450,78,282.0500,293.2010
2.2500,78,307.6900,293.1375
2.2550,78,282.0500,293.1122
2.2600,78,307.6900,293.0952
2.2650,78,282.0500,293.0745
2.2700,78,307.6900,293.0558
2.2750,78,282.0500,293.0630
2.2800,78,282.0500,293.1219
2.2850,78,307.6900,293.2278
2.2900,78,282.0500,293.3452
2.2950,78,307.6900,293.4388
2.3000,78,282.0500,293.4886
2.3050,78,307.6900,293.4896
2.3100,78,282.0500,293.4505
2.3150,78,307.6900,293.3945
2.3200,78,282.0500,293.3590
2.3250,78,282.0500,293.3799
2.3300,78,307.6900,293.4597
2.3350,78,282.0500,293.5675
2.3400,78,307.6900,293.6700
2.3450,78,282.0500,293.7470
2.3500,78,307.6900,293.7909
2.3550,78,282.0500,293.8051
2.3600,78,307.6900,293.8042
2.3650,78,282.0500,293.8138
2.3700,78,282.0500,293.8537
2.3750,78,307.6900,293.9060
2.3800,78,307.6900,293.9306
2.3850,78,282.0500,293.9297
2.3900,78,282.0500,293.9471
2.3950,78,307.6900,294.0037
2.4000,78,282.0500,294.0814
2.4050,78,307.6900,294.1543
2.4100,78,282.0500,294.2047
2.4150,78,307.6900,294.2218
2.4200,78,282.0500,294.2023
2.4250,78,307.6900,294.1489
2.4300,78,282.0500,294.0718
2.4350,78,307.6900,293.9882
2.4400,78,282.0500,293.9235
2.4450,78,282.0500,293.8957
2.4500,78,307.6900,293.8838
2.4550,78,307.6900,293.8444
2.4600,78,282.0500,293.7761
2.4650,78,282.0500,293.7204
2.4700,78,307.6900,293.6976
2.4750,78,282.0500,293.6908
2.4800,78,307.6900,293.6790
2.4850,78,282.0500,293.6527
2.4900,78,307.6900,293.6147
2.4950,78,282.0500,293.5801
2.5000,78,282.0500,293.5605
2.5050,78,307.6900,293.5319
2.5100,78,307.6900,293.4513
2.5150,78,282.0500,293.3219
2.5200,78,282.0500,293.1934
2.5250,78,307.6900,293.0989
2.5300,78,282.0500,293.0399
2.5350,78,307.6900,293.0194
2.5400,78,282.0500,293.0585
2.5450,78,282.0500,293.1807
2.5500,78,307.6900,293.3787
2.5550,78,282.0500,293.6136
2.5600,78,307.6900,293.8451
2.5650,78,282.0500,294.0458
2.5700,78,307.6900,294.1984
2.5750,78,282.0500,294.2944
2.5800,78,307.6900,294.3322
2.5850,78,282.0500,294.3165
2.5900,78,307.6900,294.2574
2.5950,78,282.0500,294.1709
2.6000,78,307.6900,294.0794
2.6050,78,282.0500,294.0123
2.6100,78,282.0500,293.9906
2.6150,78,307.6900,293.9954
2.6200,78,307.6900,293.9844
2.6250,78,282.0500,293.9562
2.6300,78,282.0500,293.9508
2.6350,78,307.6900,293.9850
2.6400,78,282.0500,294.0362
2.6450,78,307.6900,294.0747
2.6500,78,282.0500,294.0790
2.6550,78,307.6900,294.0358
2.6600,78,282.0500,293.9403
2.6650,78,307.6900,293.7961
2.6700,78,282.0500,293.6163
2.6750,78,307.6900,293.4252
2.6800,78,282.0500,293.2597
2.6850,78,282.0500,293.1551
2.6900,78,307.6900,293.1139
2.6950,78,282.0500,293.1075
2.7000,78,307.6900,293.1085
2.7050,78,282.0500,293.1073
2.7100,78,307.6900,293.1119
2.7150,78,282.0500,293.1481
2.7200,78,282.0500,293.2431
2.7250,78,307.6900,293.3928
2.7300,78,282.0500,293.5606
2.7350,78,307.6900,293.7089
2.7400,78,282.0500,293.8130
2.7450,78,307.6900,293.8605
2.7500,78,282.0500,293.8496
2.7550,78,307.6900,293.7891
2.7600,78,282.0500,293.6982
2.7650,78,307.6900,293.6073
2.7700,78,282.0500,293.5584
2.7750,78,282.0500,293.5901
2.7800,78,307.6900,293.7053
2.7850,78,282.0500,293.8708
2.7900,78,307.6900,294.0491
2.7950,78,282.0500,294.2124
2.8000,78,307.6900,294.3414
2.8050,78,282.0500,294.4235
2.8100,78,307.6900,294.4516
2.8150,78,282.0500,294.4236
2.8200,78,307.6900,294.3417
2.8250,78,282.0500,294.2129
2.8300,78,307.6900,294.0498
2.8350,78,282.0500,293.8716
2.8400,78,307.6900,293.7061
2.8450,78,282.0500,293.5909
2.8500,78,282.0500,293.5590
2.8550,78,307.6900,293.6075
2.8600,78,282.0500,293.6978
2.8650,78,307.6900,293.7878
2.8700,78,282.0500,293.8471
2.8750,78,307.6900,293.8565
2.8800,78,282.0500,293.8071
2.8850,78,307.6900,293.7007
2.8900,78,282.0500,293.5499
2.8950,78,307.6900,293.3796
2.9000,78,282.0500,293.2277
2.9050,78,282.0500,293.1311
2.9100,78,307.6900,293.0946
